time.sec,MSH.1,FSH.1,FSH.2,blank.1,blank.2,blank.3,FSH.3,MSH.3,FSH.4,MSH.5,FSH.5,FSH.6,MBR.39,MBR.40,MBR.53,FBR.53,MBR.54,FBR.54,MBR.56,FBR.47,MBR.47,FBR.49,MBR.49,FBR.50
0,6.789,6.408,6.328,7.636,7.696,7.639,6.617,6.998,6.555,6.595,6.501,6.953,7.308,7.057,7.279,6.99,7.208,7.057,7.036,6.899,7.085,7.043,7.149,6.312
300,6.745,6.293,6.142,7.606,7.651,7.639,6.544,6.984,6.484,6.609,6.444,6.909,7.264,6.998,7.205,6.918,7.136,6.983,6.946,6.783,6.996,6.999,7.105,6.17
600,6.686,6.251,6.042,7.576,7.666,7.609,6.458,6.881,6.37,6.537,6.373,6.778,7.234,6.94,7.161,6.889,7.078,6.91,6.901,6.726,6.937,6.911,7.018,6.1
900,6.657,6.194,5.971,7.606,7.666,7.594,6.385,6.881,6.327,6.465,6.289,6.734,7.205,6.925,7.146,6.774,7.049,6.881,6.901,6.682,6.937,6.839,6.989,6.057
1200,6.555,6.109,5.844,7.576,7.636,7.624,6.27,6.852,6.256,6.351,6.148,6.705,7.161,6.881,7.102,6.774,7.02,6.837,6.871,6.639,6.893,6.824,6.945,5.903
1500,6.57,6.052,5.83,7.606,7.651,7.609,6.227,6.779,6.228,6.308,6.19,6.632,7.19,6.881,7.087,6.702,6.962,6.779,6.827,6.582,6.864,6.751,6.916,5.777
1800,6.482,5.94,5.801,7.606,7.621,7.579,6.184,6.721,6.2,6.265,6.134,6.574,7.161,6.808,7.087,6.659,6.962,6.72,6.753,6.567,6.79,6.722,6.916,5.652
2100,6.424,5.883,5.717,7.621,7.621,7.609,6.17,6.736,6.186,6.251,6.021,6.545,7.116,6.808,7.072,6.602,6.876,6.691,6.738,6.524,6.805,6.679,6.858,5.638
2400,6.41,5.855,5.661,7.591,7.636,7.624,6.127,6.692,6.087,6.209,5.952,6.502,7.072,6.678,7.014,6.559,6.862,6.633,6.693,6.495,6.732,6.65,6.858,5.666
2700,6.381,5.799,5.618,7.606,7.651,7.579,6.056,6.692,6.073,6.18,5.854,6.458,7.087,6.663,7.028,6.545,6.847,6.604,6.693,6.424,6.717,6.592,6.844,5.652
3000,6.352,5.771,5.548,7.606,7.636,7.609,5.985,6.663,5.933,6.138,5.798,6.444,7.072,6.576,6.999,6.502,6.804,6.546,6.619,6.41,6.673,6.578,6.786,5.39
3300,6.323,5.715,5.507,7.621,7.651,7.609,5.914,6.62,5.919,6.109,5.757,6.401,7.043,6.605,6.984,6.431,6.761,6.503,6.59,6.395,6.659,6.534,6.772,5.335
3600,6.308,5.646,5.437,7.606,7.651,7.594,5.886,6.562,5.905,6.081,5.632,6.329,6.999,6.49,6.941,6.389,6.747,6.46,6.546,6.353,6.629,6.477,6.743,5.307
3900,6.308,5.618,5.339,7.606,7.636,7.624,5.843,6.547,5.877,6.067,5.632,6.329,7.028,6.504,6.941,6.361,6.761,6.417,6.546,6.296,6.6,6.419,6.714,5.28
4200,6.28,5.576,5.27,7.606,7.666,7.639,5.829,6.49,5.807,6.025,5.577,6.3,6.999,6.475,6.911,6.332,6.718,6.417,6.502,6.296,6.586,6.405,6.686,5.171
4500,6.265,5.521,5.298,7.651,7.681,7.67,5.815,6.446,5.71,5.926,5.454,6.228,6.999,6.461,6.897,6.262,6.704,6.388,6.472,6.267,6.571,6.391,6.686,5.021
4800,6.193,5.507,5.27,7.666,7.696,7.716,5.815,6.475,5.668,5.842,5.399,6.243,6.999,6.418,6.897,6.248,6.718,6.359,6.458,6.253,6.557,6.391,6.686,5.034
5100,6.193,5.507,5.229,7.726,7.726,7.731,5.801,6.461,5.682,5.828,5.454,6.271,6.955,6.461,6.897,6.29,6.69,6.373,6.487,6.282,6.571,6.362,6.671,5.007
5400,6.193,5.507,5.215,7.741,7.801,7.792,5.702,6.475,5.654,5.842,5.44,6.257,6.941,6.418,6.897,6.276,6.718,6.345,6.472,6.267,6.557,6.362,6.686,4.994
5700,6.164,5.438,5.146,7.711,7.786,7.761,5.688,6.446,5.599,5.814,5.385,6.243,6.955,6.36,6.882,6.248,6.704,6.345,6.414,6.225,6.557,6.333,6.657,5.048
6000,6.179,5.438,5.063,7.756,7.831,7.777,5.702,6.461,5.626,5.786,5.317,6.243,6.911,6.303,6.868,6.29,6.718,6.302,6.428,6.225,6.542,6.333,6.657,5.089
6300,6.15,5.424,4.926,7.756,7.861,7.838,5.674,6.403,5.613,5.758,5.221,6.214,6.955,6.289,6.911,6.262,6.718,6.259,6.399,6.239,6.557,6.291,6.657,5.075
6600,6.15,5.438,4.899,7.786,7.861,7.853,5.66,6.403,5.53,5.758,5.194,6.214,6.955,6.274,6.868,6.248,6.704,6.259,6.355,6.196,6.542,6.319,6.657,4.94
6900,6.107,5.369,4.967,7.816,7.891,7.838,5.646,6.403,5.502,5.758,5.14,6.2,6.97,6.26,6.868,6.177,6.69,6.23,6.355,6.154,6.542,6.291,6.643,4.818
7200,6.093,5.341,4.926,7.801,7.906,7.868,5.632,6.389,5.447,5.744,5.086,6.157,6.955,6.231,6.809,6.149,6.747,6.187,6.326,6.126,6.528,6.262,6.686,4.778
7500,6.107,5.369,4.871,7.831,7.891,7.853,5.59,6.374,5.474,5.702,5.045,6.114,6.941,6.217,6.795,6.135,6.718,6.159,6.326,6.154,6.499,6.262,6.657,4.711
7800,6.05,5.3,4.817,7.801,7.876,7.822,5.59,6.36,5.378,5.688,5.032,6.085,6.926,6.174,6.722,6.051,6.69,6.144,6.282,6.097,6.499,6.248,6.643,4.617
8100,6.05,5.313,4.749,7.831,7.891,7.868,5.576,6.346,5.378,5.688,5.005,6.043,6.911,6.16,6.577,6.079,6.704,6.102,6.282,6.083,6.484,6.205,6.643,4.63
8400,6.035,5.217,4.776,7.846,7.891,7.822,5.534,6.274,5.31,5.618,4.978,6.029,6.911,6.146,6.477,6.023,6.633,6.088,6.268,6.041,6.426,6.12,6.657,4.523
8700,6.007,5.204,4.722,7.861,7.922,7.884,5.534,6.274,5.269,5.563,4.991,6.014,6.897,6.174,6.433,6.023,6.676,6.059,6.268,6.013,6.426,6.148,6.657,4.324
9000,6.007,5.176,4.627,7.891,7.937,7.914,5.548,6.246,5.228,5.549,4.964,5.986,6.897,6.16,6.419,6.037,6.661,6.045,6.253,6.013,6.455,6.134,6.686,4.258
9300,5.993,5.163,4.586,7.891,7.937,7.914,5.492,6.117,5.2,5.438,4.897,5.972,6.868,6.103,6.405,5.995,6.633,6.031,6.224,5.942,6.426,6.091,6.628,4.232
9600,6.007,5.108,4.573,7.876,7.952,7.93,5.492,6.131,5.2,5.411,4.79,5.901,6.882,6.103,6.376,5.967,6.576,5.988,6.18,5.928,6.412,6.105,6.628,4.205
9900,5.993,5.067,4.519,7.891,7.937,7.884,5.436,6.089,5.119,5.355,4.79,5.873,6.838,6.075,6.376,5.967,6.59,5.96,6.151,5.886,6.354,6.049,6.643,4.205
10200,5.993,5.04,4.478,7.922,7.952,7.93,5.367,6.06,5.078,5.328,4.67,5.802,6.838,6.046,6.347,5.94,6.576,5.931,6.137,5.872,6.325,6.035,6.614,4.166
10500,6.021,5.012,4.451,7.907,7.982,7.93,5.339,6.06,5.051,5.328,4.656,5.816,6.824,5.976,6.333,5.94,6.548,5.917,6.093,5.872,6.354,6.035,6.6,4.113
10800,6.021,4.958,4.397,7.907,7.982,7.945,5.2,6.004,5.01,5.273,4.576,5.437,6.809,5.961,6.276,5.912,6.562,5.903,6.108,5.858,6.325,6.02,6.586,4.087
11100,5.993,4.904,4.384,7.907,7.967,7.93,5.117,6.004,4.997,5.232,4.55,5.703,6.795,5.933,6.219,5.856,6.533,5.889,6.05,5.83,6.311,5.95,6.557,3.969
11400,5.993,4.931,4.357,7.922,7.982,7.93,5.117,5.99,4.97,5.232,4.497,5.619,6.78,5.905,6.205,5.787,6.548,5.833,6.035,5.788,6.296,5.95,6.543,4.022
11700,5.964,4.836,4.277,7.907,8.012,7.976,5.09,5.975,4.943,5.218,4.47,5.647,6.795,5.891,6.19,5.759,6.491,5.79,6.006,5.761,6.239,5.95,6.514,4.008
12000,5.95,4.768,4.21,7.952,7.982,7.945,5.049,5.919,4.916,5.191,4.457,5.605,6.809,5.863,6.176,5.704,6.491,5.79,6.006,5.719,6.239,5.922,6.543,3.826
12300,5.921,4.715,4.117,7.937,8.012,7.991,5.007,5.834,4.794,5.136,4.351,5.563,6.751,5.778,6.19,5.607,6.448,5.748,5.949,5.677,6.224,5.865,6.528,3.722
12600,5.893,4.701,3.984,7.937,8.012,7.976,4.925,5.806,4.741,5.095,4.246,5.535,6.737,5.666,6.148,5.539,6.434,5.748,5.905,5.677,6.239,5.851,6.514,3.645
12900,5.893,4.688,3.997,7.937,8.028,7.961,4.939,5.792,4.701,5.068,4.22,5.535,6.722,5.624,6.134,5.58,6.448,5.734,5.891,5.649,6.181,5.865,6.486,3.503
13200,5.85,4.661,3.958,7.982,8.012,7.976,4.939,5.778,4.701,5.095,4.207,5.507,6.722,5.582,6.134,5.594,6.42,5.734,5.848,5.635,6.167,5.809,6.486,3.529
13500,5.779,4.62,3.839,7.937,8.028,7.976,4.871,5.666,4.634,5.04,4.154,5.479,6.664,5.526,6.134,5.552,6.392,5.678,5.833,5.594,6.124,5.795,6.457,3.413
13800,5.751,4.567,3.773,7.937,8.043,7.976,4.857,5.638,4.62,5.027,4.168,5.451,6.693,5.512,6.063,5.511,6.392,5.636,5.79,5.58,6.11,5.739,6.429,3.375
14100,5.751,4.473,3.682,7.967,8.028,7.991,4.843,5.582,4.527,5.027,4.168,5.465,6.679,5.485,6.02,5.484,6.364,5.636,5.776,5.538,6.124,5.739,6.429,3.4
14400,5.723,4.46,3.629,7.937,8.043,7.991,4.816,5.596,4.5,4.986,4.141,5.41,6.65,5.457,5.978,5.429,6.336,5.608,5.747,5.497,6.081,5.683,6.415,3.439
14700,5.723,4.433,3.629,7.967,8.073,8.007,4.802,5.554,4.514,4.959,4.115,5.354,6.664,5.429,5.949,5.388,6.35,5.636,5.733,5.497,6.081,5.683,6.415,3.362
15000,5.694,4.407,3.538,8.013,8.058,7.991,4.748,5.568,4.447,4.945,4.089,5.354,6.664,5.457,5.893,5.388,6.307,5.636,5.705,5.483,6.067,5.697,6.386,3.362
15300,5.61,4.407,3.46,7.982,8.058,8.007,4.721,5.54,4.394,4.891,4.011,5.34,6.621,5.415,5.865,5.361,6.336,5.58,5.69,5.428,6.038,5.627,6.344,3.298
15600,5.567,4.38,3.395,7.982,8.058,8.007,4.748,5.498,4.354,4.85,3.998,5.299,6.606,5.373,5.837,5.306,6.307,5.538,5.647,5.414,6.038,5.627,6.358,3.146
15900,5.539,4.353,3.318,8.028,8.028,8.007,4.707,5.484,4.223,4.85,3.946,5.257,6.592,5.346,5.781,5.279,6.307,5.51,5.633,5.414,6.01,5.613,6.344,2.994
16200,5.539,4.327,3.189,8.043,8.088,8.053,4.694,5.456,4.17,4.823,3.894,5.229,6.563,5.318,5.752,5.211,6.307,5.482,5.619,5.386,6.01,5.585,6.358,2.893
16500,5.483,4.274,3.163,7.982,8.073,7.991,4.68,5.415,4.131,4.783,3.868,5.188,6.577,5.249,5.738,5.17,6.265,5.441,5.548,5.318,5.967,5.543,6.301,2.855
16800,5.455,4.221,3.112,7.997,8.073,8.038,4.626,5.429,4.104,4.729,3.842,5.146,6.592,5.249,5.766,5.143,6.279,5.441,5.519,5.304,5.938,5.529,6.301,2.793
17100,5.455,4.128,3.035,7.967,8.073,8.007,4.599,5.373,4.052,4.702,3.816,5.105,6.491,5.208,5.738,5.13,6.237,5.399,5.491,5.276,5.91,5.488,6.287,2.743
17400,5.413,4.168,2.92,8.043,8.058,8.007,4.558,5.373,3.961,4.635,3.765,5.064,6.52,5.139,5.641,5.116,6.251,5.371,5.462,5.222,5.896,5.488,6.287,2.718
17700,5.399,4.115,2.856,7.997,8.058,8.007,4.545,5.29,3.987,4.608,3.739,5.023,6.534,5.098,5.571,5.076,6.223,5.343,5.477,5.235,5.91,5.446,6.245,2.668
18000,5.357,4.102,2.742,8.013,8.073,8.007,4.491,5.207,3.934,4.541,3.7,4.94,6.477,5.029,5.557,5.049,6.209,5.302,5.392,5.222,5.882,5.418,6.245,2.618
18300,5.343,4.036,2.616,8.013,8.073,8.038,4.477,5.207,3.869,4.474,3.662,4.899,6.477,4.988,5.529,5.008,6.195,5.302,5.392,5.167,5.853,5.418,6.202,2.618
18600,5.301,3.957,2.516,8.013,8.058,7.991,4.477,5.18,3.818,4.447,3.559,4.858,6.448,4.947,5.501,4.995,6.153,5.246,5.349,5.153,5.825,5.446,6.174,2.618
18900,5.274,3.879,2.378,7.997,8.058,7.976,4.383,5.139,3.766,4.367,3.457,4.818,6.448,4.893,5.501,4.968,6.153,5.26,5.307,5.112,5.825,5.405,6.132,2.693
19200,5.26,3.735,2.204,8.013,8.073,8.022,4.356,5.152,3.74,4.341,3.444,4.79,6.448,4.879,5.515,4.927,6.111,5.219,5.237,5.085,5.782,5.405,6.132,2.631
19500,5.274,3.748,2.068,8.013,8.104,8.053,4.316,5.125,3.727,4.327,3.431,4.79,6.39,4.865,5.501,4.901,6.125,5.205,5.251,5.126,5.797,5.432,6.118,2.593
19800,5.204,3.684,1.957,7.997,8.088,8.053,4.316,5.097,3.675,4.314,3.355,4.777,6.39,4.825,5.46,4.833,6.111,5.178,5.222,5.044,5.797,5.391,6.146,2.506
20100,5.162,3.632,1.785,8.013,8.058,8.053,4.289,5.043,3.637,4.274,3.342,4.736,6.39,4.757,5.404,4.753,6.083,5.15,5.194,5.058,5.782,5.391,6.118,2.395
20400,5.162,3.593,1.615,8.013,8.073,8.038,4.129,5.029,3.598,4.235,3.317,4.709,6.362,4.743,5.418,4.673,6.069,5.04,5.18,5.044,5.811,5.377,6.062,2.321
20700,5.121,3.606,1.505,8.043,8.088,8.053,4.089,4.947,3.598,4.182,3.291,4.668,6.39,4.716,5.321,4.673,6.055,4.985,5.166,5.044,5.797,5.335,6.062,2.346
21000,5.121,3.567,1.349,7.997,8.088,8.038,4.023,4.824,3.47,4.089,3.266,4.587,6.362,4.676,5.211,4.647,6.041,4.917,5.166,5.031,5.754,5.308,6.033,2.297
21300,5.079,3.528,1.217,8.028,8.104,8.038,3.983,4.811,3.418,4.063,3.19,4.573,6.347,4.649,5.156,4.607,6.014,4.835,5.124,4.99,5.726,5.28,5.991,2.26
21600,5.038,3.477,1.109,8.043,8.119,8.038,3.983,4.675,3.444,3.984,3.178,4.533,6.319,4.662,5.074,4.633,6,4.808,5.124,5.017,5.684,5.28,6.005,2.125
21900,5.052,3.4,1.014,8.058,8.104,8.022,3.904,4.621,3.38,3.906,3.089,4.519,6.304,4.608,5.033,4.633,6,4.74,5.11,4.976,5.698,5.239,5.977,1.955
22200,5.01,3.4,0.884,8.028,8.088,8.038,3.891,4.567,3.393,3.906,2.976,4.492,6.304,4.487,5.005,4.594,5.972,4.686,5.068,4.949,5.641,5.225,5.936,1.906
22500,4.928,3.31,0.789,8.043,8.104,8.053,3.891,4.433,3.354,3.867,2.926,4.425,6.247,4.42,4.978,4.554,5.944,4.591,5.04,4.908,5.641,5.184,5.922,1.821
22800,4.804,3.271,0.695,8.043,8.104,8.038,3.865,4.42,3.342,3.814,2.851,4.371,6.276,4.407,4.91,4.501,5.93,4.497,5.054,4.922,5.627,5.184,5.908,1.785
23100,4.722,3.259,0.637,8.058,8.104,8.038,3.878,4.406,3.316,3.814,2.752,4.345,6.247,4.313,4.869,4.422,5.916,4.389,5.012,4.881,5.599,5.115,5.88,1.749
23400,4.654,3.22,0.59,8.043,8.088,8.068,3.851,4.353,3.278,3.762,2.714,4.291,6.247,4.246,4.828,4.408,5.888,4.363,5.012,4.881,5.599,5.129,5.838,1.737
23700,4.572,3.157,0.555,8.058,8.134,8.053,3.812,4.273,3.24,3.632,2.677,4.184,6.219,4.246,4.801,4.356,5.888,4.363,4.943,4.854,5.585,5.074,5.838,1.713
24000,4.491,3.068,0.508,8.058,8.104,8.053,3.759,4.259,3.215,3.594,2.628,4.144,6.205,4.207,4.747,4.237,5.888,4.269,4.887,4.814,5.543,5.033,5.782,1.629
24300,4.342,2.992,0.485,8.058,8.058,8.038,3.707,4.206,3.215,3.581,2.541,4.104,6.205,4.114,4.734,4.133,5.847,4.216,4.859,4.814,5.487,5.006,5.782,1.569
24600,4.288,2.941,0.438,8.073,8.088,8.022,3.668,4.166,3.101,3.555,2.455,3.998,6.219,4.074,4.72,4.107,5.833,4.136,4.831,4.76,5.473,4.979,5.782,1.593
24900,4.302,2.916,0.438,8.043,8.119,8.038,3.615,4.153,3.101,3.542,2.381,4.025,6.148,4.061,4.707,4.068,5.792,4.043,4.776,4.76,5.459,4.951,5.727,1.569
25200,4.275,2.84,0.438,8.089,8.088,8.053,3.615,4.127,3.088,3.516,2.344,3.998,6.176,4.048,4.72,4.081,5.805,3.99,4.776,4.747,5.473,4.951,5.727,1.509
25500,4.208,2.803,0.427,8.073,8.073,8.068,3.537,4.074,3.012,3.465,2.295,3.919,6.162,3.968,4.68,3.964,5.736,3.872,4.721,4.706,5.417,4.897,5.699,1.354
25800,4.141,2.815,0.415,8.073,8.088,8.038,3.537,4.047,2.924,3.426,2.222,3.893,6.148,3.968,4.68,3.886,5.723,3.78,4.721,4.666,5.417,4.856,5.671,1.295
26100,4.074,2.815,0.403,8.073,8.104,8.099,3.446,4.021,2.837,3.4,2.222,3.853,6.091,3.929,4.626,3.847,5.695,3.727,4.679,4.639,5.389,4.843,5.671,1.248
26400,3.981,2.777,0.392,8.073,8.088,8.068,3.407,4.008,2.712,3.362,2.186,3.814,6.091,3.916,4.572,3.808,5.668,3.584,4.624,4.586,5.347,4.802,5.63,1.177
26700,3.915,2.69,0.392,8.028,8.104,8.068,3.368,3.981,2.637,3.336,2.125,3.8,6.062,3.876,4.558,3.705,5.64,3.48,4.624,4.572,5.361,4.802,5.63,1.106
27000,3.848,2.652,0.403,8.073,8.073,8.038,3.33,3.942,2.612,3.285,2.076,3.761,6.077,3.837,4.465,3.641,5.599,3.338,4.542,4.545,5.319,4.775,5.588,1.024
27300,3.795,2.59,0.392,8.073,8.104,8.053,3.304,3.929,2.575,3.272,2.04,3.748,6.077,3.758,4.451,3.603,5.626,3.273,4.528,4.505,5.305,4.721,5.575,0.965
27600,3.729,2.528,0.403,8.073,8.119,8.053,3.252,3.876,2.587,3.145,2.04,3.709,6.02,3.693,4.424,3.539,5.585,3.17,4.514,4.492,5.264,4.68,5.547,0.86
27900,3.65,2.465,0.427,8.073,8.058,8.084,3.214,3.889,2.525,3.056,2.016,3.696,6.006,3.693,4.358,3.475,5.544,3.132,4.487,4.439,5.25,4.667,5.52,0.779
28200,3.624,2.416,0.392,8.028,8.088,8.068,3.201,3.823,2.501,3.018,1.979,3.669,6.006,3.654,4.344,3.411,5.558,3.145,4.446,4.439,5.25,4.667,5.506,0.686
28500,3.624,2.391,0.403,8.073,8.073,8.084,3.188,3.784,2.501,2.992,1.979,3.63,5.949,3.641,4.304,3.462,5.517,3.068,4.391,4.425,5.208,4.613,5.492,0.64
28800,3.585,2.28,0.403,8.073,8.119,8.053,3.072,3.706,2.464,2.954,1.992,3.552,5.949,3.576,4.291,3.424,5.489,2.991,4.377,4.359,5.194,4.559,5.465,0.559
29100,3.559,2.231,0.403,8.043,8.088,8.068,3.047,3.602,2.427,2.891,1.979,3.474,5.963,3.55,4.304,3.411,5.476,2.915,4.35,4.359,5.181,4.559,5.437,0.524
29400,3.519,2.157,0.38,8.058,8.119,8.068,3.034,3.589,2.39,2.854,1.943,3.435,5.893,3.472,4.291,3.373,5.435,2.864,4.296,4.346,5.167,4.505,5.396,0.467
29700,3.493,2.145,0.369,8.058,8.104,8.053,3.021,3.563,2.353,2.816,1.835,3.422,5.921,3.407,4.278,3.361,5.435,2.763,4.268,4.319,5.153,4.479,5.355,0.432
